provider_match_id,source_market,source_url,competition,season,kickoff_time_utc,home_team_name,away_team_name,ft_home_goals,ft_away_goals,handicap_open_line,handicap_close_line,odds_home_open,odds_away_open,odds_home_close,odds_away_close,handicap_side
E0_2324_0035,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 17:30:00+00:00,Brighton,Newcastle,3,1,0.0,0.0,1.94,1.99,1.94,1.99,home
E0_2324_0036,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-03 14:00:00+00:00,Crystal Palace,Wolves,3,2,-0.5,-0.5,1.98,1.95,1.98,1.95,home
E0_2324_0037,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-03 14:00:00+00:00,Liverpool,Aston Villa,3,0,-1.0,-1.0,2.05,1.75,2.05,1.75,home
E0_2324_0038,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-03 16:30:00+00:00,Arsenal,Man United,3,1,-0.75,-0.75,2.01,1.92,2.01,1.92,home
E0_2324_0039,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 12:30:00+00:00,Wolves,Liverpool,1,3,1.25,1.25,1.92,1.98,1.92,1.98,home
E0_2324_0040,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Aston Villa,Crystal Palace,3,1,-0.5,-0.5,1.91,1.99,1.91,1.99,home
E0_2324_0041,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Fulham,Luton,1,0,-0.75,-0.75,1.87,2.03,1.87,2.03,home
E0_2324_0042,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Man United,Brighton,1,3,-0.25,-0.25,1.97,1.93,1.97,1.93,home
E0_2324_0043,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Tottenham,Sheffield United,2,1,-1.75,-1.75,2.03,1.87,2.03,1.87,home
E0_2324_0044,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,West Ham,Man City,1,3,1.25,1.25,1.83,2.07,1.83,2.07,home
E0_2324_0045,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 17:30:00+00:00,Newcastle,Brentford,1,0,-1.0,-1.0,1.89,2.01,1.89,2.01,home
E0_2324_0046,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-17 14:00:00+00:00,Bournemouth,Chelsea,0,0,0.75,0.75,1.89,2.01,1.89,2.01,home
E0_2324_0047,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-17 16:30:00+00:00,Everton,Arsenal,0,1,1.0,1.0,2.05,1.85,2.05,1.85,home
E0_2324_0048,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-18 19:45:00+00:00,Nott'm Forest,Burnley,1,1,-0.25,-0.25,1.9,2.0,1.9,2.0,home
E0_2324_0049,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 15:00:00+00:00,Crystal Palace,Fulham,0,0,-0.5,-0.5,1.98,1.92,1.98,1.92,home
E0_2324_0050,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 15:00:00+00:00,Luton,Wolves,1,1,0.25,0.25,1.96,1.94,1.96,1.94,home
E0_2324_0051,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 15:00:00+00:00,Man City,Nott'm Forest,2,0,-2.25,-2.25,2.02,1.88,2.02,1.88,home
E0_2324_0052,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 17:30:00+00:00,Brentford,Everton,1,3,-0.75,-0.75,2.06,1.84,2.06,1.84,home
E0_2324_0053,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 20:00:00+00:00,Burnley,Man United,0,1,0.75,0.75,1.95,1.95,1.95,1.95,home
E0_2324_0054,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Arsenal,Tottenham,2,2,-0.75,-0.75,1.87,2.03,1.87,2.03,home
E0_2324_0055,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Brighton,Bournemouth,3,1,-1.5,-1.5,2.01,1.89,2.01,1.89,home
E0_2324_0056,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Chelsea,Aston Villa,0,1,-0.5,-0.5,1.91,1.99,1.91,1.99,home
E0_2324_0057,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Liverpool,West Ham,3,1,-1.5,-1.5,2.03,1.87,2.03,1.87,home
E0_2324_0058,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 16:30:00+00:00,Sheffield United,Newcastle,0,8,1.25,1.25,1.92,1.98,1.92,1.98,home
E0_2324_0059,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 12:30:00+00:00,Aston Villa,Brighton,6,1,0.0,0.0,1.97,1.96,1.97,1.96,home
E0_2324_0060,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Bournemouth,Arsenal,0,4,1.0,1.0,2.0,1.93,2.0,1.93,home
E0_2324_0061,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Everton,Luton,1,2,-1.0,-1.0,2.09,1.84,2.09,1.84,home
E0_2324_0062,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Man United,Crystal Palace,0,1,-1.0,-1.0,2.0,1.93,2.0,1.93,home
E0_2324_0063,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Newcastle,Burnley,2,0,-1.5,-1.5,1.96,1.97,1.96,1.97,home
E0_2324_0064,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,West Ham,Sheffield United,2,0,-1.25,-1.25,2.02,1.91,2.02,1.91,home
E0_2324_0065,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Wolves,Man City,2,1,1.5,1.5,1.97,1.96,1.97,1.96,home
E0_2324_0066,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 17:30:00+00:00,Tottenham,Liverpool,2,1,0.25,0.25,1.97,1.96,1.97,1.96,home
